"yearspan","measurename","statecode","countycode","county","state","numerator","denominator","rawvalue","cilow","cihigh","measureid","chrreleaseyear","differflag","trendbreak","fips"
"1997-1999","Premature death",0,0,"United States","US",3138165,NA,"7,705.20","7,693.70","7,716.60",1,NA,NA,NA,9
"1998-2000","Premature death",0,0,"United States","US",3133298,NA,"7,615.00","7,603.70","7,626.30",1,NA,NA,NA,9
"1999-2001","Premature death",0,0,"United States","US",3139234,NA,"7,568.70","7,557.50","7,579.80",1,NA,NA,NA,9
"2000-2002","Premature death",0,0,"United States","US",3147222,NA,"7,535.00","7,524.00","7,546.10",1,NA,NA,NA,9
"2001-2003","Premature death",0,0,"United States","US",3159913,NA,"7,498.80","7,487.80","7,509.80",1,NA,NA,NA,9
"2002-2004","Premature death",0,0,"United States","US",3152636,NA,"7,411.40","7,400.50","7,422.30",1,NA,NA,NA,9
"2003-2005","Premature death",0,0,"United States","US",3156264,NA,"7,345.00","7,334.20","7,355.80",1,NA,NA,NA,9
"2004-2006","Premature death",0,0,"United States","US",3155908,NA,"7,274.58","7,263.79","7,285.36",1,2010,NA,1,9
"2005-2007","Premature death",0,0,"United States","US",3171824,NA,"7,209.38","7,198.67","7,220.09",1,2011,NA,NA,9
"2006-2008","Premature death",0,0,"United States","US",3187482,NA,"7,090.49","7,079.92","7,101.07",1,2012,NA,NA,9
"2007-2009","Premature death",0,0,"United States","US",3206771,NA,"6,958.92","6,948.48","6,969.36",1,NA,NA,NA,9
"2008-2010","Premature death",0,0,"United States","US",3226773,NA,"6,811.19","6,800.90","6,821.48",1,2013,NA,NA,9
"2009-2011","Premature death",0,0,"United States","US",3251741,NA,"6,703.70","6,693.50","6,713.80",1,NA,NA,NA,9
"2010-2012","Premature death",0,0,"United States","US",3293135,NA,"6,621.61","6,611.52","6,631.70",1,2015,NA,NA,9
"2011-2013","Premature death",0,0,"United States","US",3362601,884075121,"6,605.30","6,595.20","6,615.30",1,2016,NA,NA,9
"2012-2014","Premature death",0,0,"United States","US",3439572,890407742,"6,601.20","6,591.20","6,611.30",1,2017,NA,NA,9
"2013-2015","Premature death",0,0,"United States","US",3537400,896862151,"6,658.11","6,648.04","6,668.19",1,NA,NA,NA,9
"2014-2016","Premature death",0,0,"United States","US",3643483,902734268,"6,783.35","6,773.16","6,793.53",1,2018,NA,NA,9
"2015-2017","Premature death",0,0,"United States","US",3745538,908266078,"6,900.63","6,890.35","6,910.91",1,2019,NA,NA,9
"2016-2018","Premature death",0,0,"United States","US",3813889,912286150,"6,940.11","6,929.79","6,950.43",1,2020,NA,NA,9
"2017-2019","Premature death",0,0,"United States","US",3854074,915437195,"6,906.64","6,896.35","6,916.93",1,2021,NA,NA,9
"2018-2020","Premature death",0,0,"United States","US",4125218,917267406,"7,281.94","7,271.41","7,292.46",1,2022,NA,NA,9
"2019-2021","Premature death",0,0,"United States","US",4535347,921750763,"7,971.51","7,960.52","7,982.50",1,2024,NA,1,9
"1997-1999","Premature death",27,0,"Minnesota","MN",41651,NA,"5,846.30","5,770.70","5,921.90",1,NA,NA,NA,99
"1998-2000","Premature death",27,0,"Minnesota","MN",41671,NA,"5,821.30","5,746.30","5,896.20",1,NA,NA,NA,99
"1999-2001","Premature death",27,0,"Minnesota","MN",41702,NA,"5,736.60","5,663.10","5,810.10",1,NA,NA,NA,99
"2000-2002","Premature death",27,0,"Minnesota","MN",41654,NA,"5,678.00","5,605.20","5,750.80",1,NA,NA,NA,99
"2001-2003","Premature death",27,0,"Minnesota","MN",41462,NA,"5,589.10","5,517.40","5,660.80",1,NA,NA,NA,99
"2002-2004","Premature death",27,0,"Minnesota","MN",41064,NA,"5,484.00","5,413.20","5,554.80",1,NA,NA,NA,99
"2003-2005","Premature death",27,0,"Minnesota","MN",40703,NA,"5,355.50","5,286.00","5,425.00",1,NA,NA,NA,99
"2004-2006","Premature death",27,0,"Minnesota","MN",40681,NA,"5,313.05","5,243.74","5,382.36",1,2010,NA,1,99
"2005-2007","Premature death",27,0,"Minnesota","MN",40820,NA,"5,274.04","5,204.87","5,343.20",1,2011,NA,NA,99
"2006-2008","Premature death",27,0,"Minnesota","MN",41422,NA,"5,256.63","5,187.45","5,325.82",1,2012,NA,NA,99
"2007-2009","Premature death",27,0,"Minnesota","MN",42074,NA,"5,170.57","5,102.33","5,238.81",1,NA,NA,NA,99
"2008-2010","Premature death",27,0,"Minnesota","MN",42774,NA,"5,126.25","5,058.40","5,194.11",1,2013,NA,NA,99
"2009-2011","Premature death",27,0,"Minnesota","MN",NA,NA,"5,047.40","4,980.30","5,114.40",1,NA,NA,NA,99
"2010-2012","Premature death",27,0,"Minnesota","MN",43953,NA,"5,038.05","4,970.74","5,105.36",1,2015,NA,NA,99
"2011-2013","Premature death",27,0,"Minnesota","MN",45114,15128635,"5,071.10","5,003.50","5,138.80",1,2016,NA,NA,99
"2012-2014","Premature death",27,0,"Minnesota","MN",45937,15226864,"5,071.20","5,003.40","5,139.10",1,2017,NA,NA,99
"2013-2015","Premature death",27,0,"Minnesota","MN",47407,15321623,"5,116.67","5,048.62","5,184.73",1,NA,NA,NA,99
"2014-2016","Premature death",27,0,"Minnesota","MN",48644,15404550,"5,171.14","5,102.66","5,239.62",1,2018,NA,NA,99
"2015-2017","Premature death",27,0,"Minnesota","MN",50156,15505330,"5,257.91","5,188.97","5,326.85",1,2019,NA,NA,99
