fips,location,ageGroup,pct,year
27119,Mahnomen,0-20,0.43,2019
27119,Mahnomen,3-20,0.54,2019
27119,Mahnomen,0-20,0.34,2020
27119,Mahnomen,3-20,0.46,2020
27119,Mahnomen,0-20,0.45,2021
27119,Mahnomen,3-20,0.37,2021
27119,Mahnomen,0-20,0.33,2022
27119,Mahnomen,3-20,0.33,2022
27119,Mahnomen,0-20,0.36,2023
27119,Mahnomen,3-20,0.39,2023
27107,Norman,0-20,0.48,2019
27107,Norman,3-20,0.5,2019
27107,Norman,0-20,0.41,2020
27107,Norman,3-20,0.39,2020
27107,Norman,0-20,0.41,2021
27107,Norman,3-20,0.43,2021
27107,Norman,0-20,0.39,2022
27107,Norman,3-20,0.43,2022
27107,Norman,0-20,0.42,2023
27107,Norman,3-20,0.46,2023
27087,Polk,0-20,0.48,2019
27087,Polk,3-20,0.44,2019
27087,Polk,0-20,0.44,2020
27087,Polk,3-20,0.37,2020
27087,Polk,0-20,0.46,2021
27087,Polk,3-20,0.42,2021
27087,Polk,0-20,0.44,2022
27087,Polk,3-20,0.39,2022
27087,Polk,0-20,0.43,2023
27087,Polk,3-20,0.33,2023
