location,measure,rawValue,year,fips
Kittson,Child,417,2022,27069
Kittson,Child,282,2021,27069
Kittson,Child,559,2020,27069
Kittson,Child,643,2019,27069
Kittson,Child,757,2018,27069
Kittson,Child,330,2017,27069
Kittson,Child,403,2016,27069
Kittson,Child,417,2015,27069
Kittson,Child,444,2014,27069
Kittson,Child,102,2013,27069
Kittson,Child,132,2012,27069
Kittson,Child,221,2011,27069
Kittson,Adult,1035,2022,27069
Kittson,Adult,716,2021,27069
Kittson,Adult,1182,2020,27069
Kittson,Adult,1135,2019,27069
Kittson,Adult,1056,2018,27069
Kittson,Adult,938,2017,27069
Kittson,Adult,934,2016,27069
Kittson,Adult,794,2015,27069
Kittson,Adult,633,2014,27069
Kittson,Adult,235,2013,27069
Kittson,Adult,324,2012,27069
Kittson,Adult,434,2011,27069
Kittson,Senior,410,2022,27069
Kittson,Senior,258,2021,27069
Kittson,Senior,255,2020,27069
Kittson,Senior,240,2019,27069
Kittson,Senior,313,2018,27069
Kittson,Senior,201,2017,27069
Kittson,Senior,192,2016,27069
Kittson,Senior,149,2015,27069
Kittson,Senior,102,2014,27069
Kittson,Senior,32,2013,27069
Kittson,Senior,47,2012,27069
Kittson,Senior,47,2011,27069
Kittson,Individual,1862,2022,27069
Kittson,Individual,1256,2021,27069
Kittson,Individual,1996,2020,27069
Kittson,Individual,2018,2019,27069
Kittson,Individual,2126,2018,27069
Kittson,Individual,1469,2017,27069
Kittson,Individual,1529,2016,27069
Kittson,Individual,1360,2015,27069
Kittson,Individual,1179,2014,27069
Kittson,Individual,369,2013,27069
Kittson,Individual,503,2012,27069
Kittson,Individual,702,2011,27069
Kittson,Household,920,2022,27069
Kittson,Household,612,2021,27069
Kittson,Household,915,2020,27069
Kittson,Household,1005,2019,27069
Kittson,Household,994,2018,27069
Kittson,Household,684,2017,27069
Kittson,Household,680,2016,27069
Kittson,Household,649,2015,27069
Kittson,Household,421,2014,27069
Kittson,Household,140,2013,27069
Kittson,Household,213,2012,27069
Kittson,Household,274,2011,27069
Kittson,Pounds,73912,2022,27069
Kittson,Pounds,36514,2021,27069
Kittson,Pounds,53031,2020,27069
Kittson,Pounds,43282,2019,27069
Kittson,Pounds,42071,2018,27069
Kittson,Pounds,32532,2017,27069
Kittson,Pounds,34021,2016,27069
Kittson,Pounds,37801,2015,27069
Kittson,Pounds,31550,2014,27069
Kittson,Pounds,8959,2013,27069
Kittson,Pounds,14103,2012,27069
Kittson,Pounds,18479,2011,27069
Marshall,Child,899,2022,27089
Marshall,Child,591,2021,27089
Marshall,Child,801,2020,27089
Marshall,Child,909,2019,27089
Marshall,Child,932,2018,27089
Marshall,Child,1053,2017,27089
Marshall,Child,1006,2016,27089
Marshall,Child,1718,2015,27089
Marshall,Child,1909,2014,27089
Marshall,Child,2009,2013,27089
Marshall,Child,2197,2012,27089
Marshall,Child,2478,2011,27089
Marshall,Adult,1574,2022,27089
Marshall,Adult,1462,2021,27089
Marshall,Adult,1565,2020,27089
Marshall,Adult,2106,2019,27089
Marshall,Adult,1968,2018,27089
Marshall,Adult,2078,2017,27089
Marshall,Adult,1936,2016,27089
Marshall,Adult,2799,2015,27089
Marshall,Adult,3302,2014,27089
Marshall,Adult,3406,2013,27089
Marshall,Adult,3557,2012,27089
Marshall,Adult,3981,2011,27089
Marshall,Senior,516,2022,27089
Marshall,Senior,470,2021,27089
Marshall,Senior,517,2020,27089
Marshall,Senior,503,2019,27089
Marshall,Senior,578,2018,27089
Marshall,Senior,715,2017,27089
Marshall,Senior,870,2016,27089
Marshall,Senior,973,2015,27089
Marshall,Senior,975,2014,27089
Marshall,Senior,1156,2013,27089
Marshall,Senior,1449,2012,27089
Marshall,Senior,1493,2011,27089
Marshall,Individual,2989,2022,27089
Marshall,Individual,2523,2021,27089
Marshall,Individual,2883,2020,27089
Marshall,Individual,3518,2019,27089
Marshall,Individual,3478,2018,27089
Marshall,Individual,3846,2017,27089
Marshall,Individual,3812,2016,27089
Marshall,Individual,5490,2015,27089
Marshall,Individual,6186,2014,27089
Marshall,Individual,6571,2013,27089
Marshall,Individual,7203,2012,27089
Marshall,Individual,7952,2011,27089
Marshall,Household,1220,2022,27089
Marshall,Household,1156,2021,27089
