fips,location,valueCount,year,rate2016_2022
99,Minnesota,410,2016,
99,Minnesota,444,2017,
99,Minnesota,344,2018,
99,Minnesota,364,2019,
99,Minnesota,395,2020,
99,Minnesota,380,2021,
99,Minnesota,454,2022,
99,Minnesota,2791,1,6.2
27069,Kittson,0,2016,
27070,Kittson,0,2017,
27071,Kittson,0,2018,
27072,Kittson,0,2019,
27073,Kittson,0,2020,
27074,Kittson,0,2021,
27075,Kittson,0,2022,
27076,Kittson,0,1,0
27089,Marshall,2,2016,
27090,Marshall,0,2017,
27091,Marshall,0,2018,
27092,Marshall,1,2019,
27093,Marshall,0,2020,
27094,Marshall,0,2021,
27095,Marshall,0,2022,
27096,Marshall,2,1,6.7
27113,Pennington,1,2016,
27114,Pennington,1,2017,
27115,Pennington,0,2018,
27116,Pennington,1,2019,
27117,Pennington,0,2020,
27118,Pennington,0,2021,
27119,Pennington,1,2022,
27120,Pennington,4,1,4.1
27125,Red Lake,0,2016,
27126,Red Lake,1,2017,
27127,Red Lake,0,2018,
27128,Red Lake,0,2019,
27129,Red Lake,1,2020,
27130,Red Lake,0,2021,
27131,Red Lake,0,2022,
27132,Red Lake,2,1,7.7
27135,Roseau,0,2016,
27136,Roseau,0,2017,
27137,Roseau,0,2018,
27138,Roseau,0,2019,
27139,Roseau,0,2020,
27140,Roseau,1,2021,
27141,Roseau,0,2022,
27142,Roseau,1,1,0.9
