fips,total_optimal,total_patients,optimal_care_rate,year,measure,location
27,118201,131995,0.9,2018,amh,Minnesota
27069,7.95,27.46,0.29,2018,amh,Kittson
27089,18.1,96.17,0.19,2018,amh,Marshall
27113,71.4,131.5,0.54,2018,amh,Pennington
27125,42.44,82.58,0.51,2018,amh,Red Lake
27135,19.59,214.77,0.09,2018,amh,Roseau
27,128901,141772,0.91,2019,amh,Minnesota
27069,20.49,31.98,0.64,2019,amh,Kittson
27089,28.37,88.6,0.32,2019,amh,Marshall
27113,84.75,134.98,0.63,2019,amh,Pennington
27125,64.93,90.01,0.72,2019,amh,Red Lake
27135,132.46,197.25,0.67,2019,amh,Roseau
27,108823,119932,0.91,2020,amh,Minnesota
27069,24.34,40,0.61,2020,amh,Kittson
27089,30.82,85.55,0.36,2020,amh,Marshall
27113,96.59,120.86,0.8,2020,amh,Pennington
27125,63.66,69.36,0.92,2020,amh,Red Lake
27135,123.37,176.48,0.7,2020,amh,Roseau
27,139444,151261,0.92,2021,amh,Minnesota
27069,49.95,58.72,0.85,2021,amh,Kittson
27089,33.72,84.07,0.4,2021,amh,Marshall
27113,84.58,114.04,0.74,2021,amh,Pennington
27125,68.6,75.33,0.91,2021,amh,Red Lake
27135,85.35,143.18,0.6,2021,amh,Roseau
27,134501,145330,0.93,2022,amh,Minnesota
27069,28.9,46.52,0.62,2022,amh,Kittson
27089,35.32,73.74,0.48,2022,amh,Marshall
27113,75.29,100.35,0.75,2022,amh,Pennington
27125,79.45,89.05,0.89,2022,amh,Red Lake
27135,137.76,257.89,0.53,2022,amh,Roseau
27,120134,267596,0.45,2018,odc,Minnesota
27069,74.54,219.83,0.34,2018,odc,Kittson
27089,116.85,342.38,0.34,2018,odc,Marshall
27113,247.79,541.75,0.46,2018,odc,Pennington
27125,117.46,229.49,0.51,2018,odc,Red Lake
27135,360.1,785.2,0.46,2018,odc,Roseau
27,124391,274048,0.45,2019,odc,Minnesota
27069,90.78,233.92,0.39,2019,odc,Kittson
27089,151.67,424.43,0.36,2019,odc,Marshall
27113,327.95,723.87,0.45,2019,odc,Pennington
27125,118.36,245.53,0.48,2019,odc,Red Lake
27135,415.77,970.73,0.43,2019,odc,Roseau
27,112305,277809,0.4,2020,odc,Minnesota
27069,91.06,251.12,0.36,2020,odc,Kittson
27089,167.61,437.66,0.38,2020,odc,Marshall
27113,330.05,804.55,0.41,2020,odc,Pennington
27125,111.48,230.66,0.48,2020,odc,Red Lake
27135,431.72,976.41,0.44,2020,odc,Roseau
27,127566,292742,0.44,2021,odc,Minnesota
27069,103.57,281.25,0.37,2021,odc,Kittson
27089,201.63,457.08,0.44,2021,odc,Marshall
27113,397.34,858,0.46,2021,odc,Pennington
27125,115.35,255.56,0.45,2021,odc,Red Lake
27135,403.07,927.81,0.43,2021,odc,Roseau
27,130220,290831,0.45,2022,odc,Minnesota
27069,112.28,290.36,0.39,2022,odc,Kittson
27089,186.65,474.46,0.39,2022,odc,Marshall
27113,412.16,904.02,0.46,2022,odc,Pennington
27125,115.89,283.57,0.41,2022,odc,Red Lake
27135,464.72,1056.85,0.44,2022,odc,Roseau
