fips,location,year,subject,count,percentage,rating,Notes
99,Minnesota,2023,reading,31447,0.524,Not Proficient,
99,Minnesota,2023,reading,28530,0.476,Proficient,
99,Minnesota,2023,math,24416,0.407,Not Proficient,
99,Minnesota,2023,math,35515,0.593,Proficient,
99,Minnesota,2022,reading,31085,0.517,Not Proficient,
99,Minnesota,2022,reading,29017,0.483,Proficient,
99,Minnesota,2022,math,24491,0.408,Not Proficient,
99,Minnesota,2022,math,35518,0.592,Proficient,
99,Minnesota,2021,reading,26895,0.513,Not Proficient,
99,Minnesota,2021,reading,25532,0.487,Proficient,
99,Minnesota,2021,math,22232,0.426,Not Proficient,
99,Minnesota,2021,math,29938,0.574,Proficient,
99,Minnesota,2020,reading,NA,NA,Not Proficient,
99,Minnesota,2020,reading,NA,NA,Proficient,
99,Minnesota,2020,math,NA,NA,Not Proficient,
99,Minnesota,2020,math,NA,NA,Proficient,
99,Minnesota,2019,reading,28733,0.452,Not Proficient,
99,Minnesota,2019,reading,34813,0.548,Proficient,
99,Minnesota,2019,math,21750,0.343,Not Proficient,
99,Minnesota,2019,math,41723,0.657,Proficient,
99,Minnesota,2018,reading,28301,0.439,Not Proficient,
99,Minnesota,2018,reading,36121,0.561,Proficient,
99,Minnesota,2018,math,21436,0.333,Not Proficient,
99,Minnesota,2018,math,42955,0.667,Proficient,
99,Minnesota,2017,reading,28124,0.43,Not Proficient,
99,Minnesota,2017,reading,37290,0.57,Proficient,
99,Minnesota,2017,math,20797,0.317,Not Proficient,
99,Minnesota,2017,math,44833,0.683,Proficient,
27069,Kittson,2023,reading,27,0.435,Not Proficient,
27069,Kittson,2023,reading,35,0.565,Proficient,
27069,Kittson,2023,math,19,0.302,Not Proficient,
27069,Kittson,2023,math,44,0.698,Proficient,
27069,Kittson,2022,reading,20,0.488,Not Proficient,
27069,Kittson,2022,reading,21,0.512,Proficient,
27069,Kittson,2022,math,16,0.39,Not Proficient,
27069,Kittson,2022,math,25,0.61,Proficient,
